atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2025-06-11,2025-06-13,0,1.28,1.2,1.29,1.1,1.28,140000,160440,1.146,1.28,1.2,1.29,1.1,1.28,140000,1.146,0.16364
2025-06-10,2025-06-12,0,1.1,1.05,1.25,1.01,1.18,140000,153880,1.09914286,1.1,1.05,1.25,1.01,1.18,140000,1.09914,0.04762
2025-06-09,2025-06-11,0,1.05,1.04,1.05,1.02,1.37,472000,550520,1.16635593,1.05,1.04,1.05,1.02,1.37,472000,1.16636,-0.22222
2025-06-06,2025-06-10,0,1.35,1.33,1.37,1.34,1.35,28000,37720,1.34714286,1.35,1.33,1.37,1.34,1.35,28000,1.34714,0
2025-06-05,2025-06-09,0,1.35,1.3,1.39,1.26,1.36,92000,121520,1.32086957,1.35,1.3,1.39,1.26,1.36,92000,1.32087,-0.03571
2025-06-04,2025-06-06,0,1.4,1.31,1.4,0,0,4000,5600,1.4,1.4,1.31,1.4,0,0,4000,1.4,0
2025-06-03,2025-06-05,0,1.4,1.31,1.4,1.38,1.4,48000,66760,1.39083333,1.4,1.31,1.4,1.38,1.4,48000,1.39083,0
2025-06-02,2025-06-04,0,1.4,1.39,1.5,1.4,1.5,68000,101240,1.48882353,1.4,1.39,1.5,1.4,1.5,68000,1.48882,-0.02098
2025-05-30,2025-06-03,0,1.43,1.33,1.45,1.42,1.43,12000,17120,1.42666667,1.43,1.33,1.45,1.42,1.43,12000,1.42667,0.01418
2025-05-29,2025-06-02,0,1.41,1.41,1.48,0,0,0,0,0,1.41,1.41,1.48,0,0,0,0,0
2025-05-28,2025-05-30,0,1.41,1.41,1.48,0,0,12000,17760,1.48,1.41,1.41,1.48,0,0,12000,1.48,0.00714
2025-05-27,2025-05-29,0,1.4,1.3,1.4,1.4,1.4,52000,72800,1.4,1.4,1.3,1.4,1.4,1.4,52000,1.4,0.01449
2025-05-26,2025-05-28,0,1.38,1.3,1.41,1.38,1.41,28000,39240,1.40142857,1.38,1.3,1.41,1.38,1.41,28000,1.40143,-0.02128
2025-05-23,2025-05-27,0,1.41,1.39,1.41,1.4,1.48,470000,670790,1.42721277,1.41,1.39,1.41,1.4,1.48,470000,1.42721,0.00714
2025-05-22,2025-05-26,0,1.4,1.4,1.5,1.4,1.5,206000,295260,1.43330097,1.4,1.4,1.5,1.4,1.5,206000,1.4333,-0.06667
2025-05-21,2025-05-23,0,1.5,1.45,1.51,1.38,1.58,616000,877680,1.42480519,1.5,1.45,1.51,1.38,1.58,616000,1.42481,0.07143
2025-05-20,2025-05-22,0,1.4,1.38,1.4,1.4,1.45,160000,225720,1.41075,1.4,1.38,1.4,1.4,1.45,160000,1.41075,-0.00709
2025-05-19,2025-05-21,0,1.41,1.38,1.44,1.38,1.5,495000,702390,1.4189697,1.41,1.38,1.44,1.38,1.5,495000,1.41897,0.00714
2025-05-16,2025-05-20,0,1.4,1.34,1.4,1.38,1.4,43000,59740,1.38930233,1.4,1.34,1.4,1.38,1.4,43000,1.3893,0.03704
2025-05-15,2025-05-19,0,1.35,1.3,1.4,1.35,1.65,33000,48170,1.45969697,1.35,1.3,1.4,1.35,1.65,33000,1.4597,-0.0625
